establishments_type,name,latitude,longitude,municipality_code,importance,name_reprocessed
hotel,Club Med (Hôtel),45.6785307,-1.1636353,17225,0.07855566918485676,Club Med 
hotel,Cabanes des Grands Cépages (Hôtel),44.0268588,4.8474913,84129,0.07841874692085168,Cabanes des Grands Cépages 
hotel,Pierre et Vacances (Hôtel),50.331541,1.5656771,80333,0.07799942246771428,Pierre et Vacances 
hotel,Pierre & Vacances (Hôtel),43.2859365,6.569696,83068,0.07770166100109502,Pierre & Vacances 
hotel,Le Domaine du Golf (Hôtel),43.5410505,3.7528519,34095,0.07754190660849607,Le Domaine du Golf 
hotel,Centre de Vacances CCAS MARINCA (Hôtel),41.8973814,8.8063768,2A130,0.07709292423472502,Centre de Vacances CCAS MARINCA 
hotel,Domaine de Marcilly (Hôtel),48.8316454,1.3284958,27391,0.0767337051416891,Domaine de Marcilly 
hotel,Château de Foscolombe (Hôtel),43.6389387,5.4679644,13080,0.0765747400099841,Château de Foscolombe 
hotel,TourisTra (Hôtel),45.690445,-1.1877967,17225,0.07633809181947264,TourisTra 
hotel,Belambra Clubs (Hôtel),43.7506246,6.0893236,04124,0.0761724629098682,Belambra Clubs 
hotel,Château Grattequina Hôtel,44.9236373,-0.5542653,33056,0.07550933248804298,Château Grattequina Hôtel
hotel,Hyatt Regency (Hôtel),48.9908855,2.5143268,95527,0.07540535630223602,Hyatt Regency 
hotel,Augustins de l'Assomption (Hôtel),45.7765154,4.7912323,69081,0.07476627820684523,Augustins de l'Assomption 
hotel,Les Lodges du Pal (Hôtel),46.5043378,3.6340434,03253,0.07475106028328556,Les Lodges du Pal 
hotel,Résidence Néméa Le Domaine de la Baie (Hôtel),48.0308702,-4.5367558,29003,0.07472062665996247,Résidence Néméa Le Domaine de la Baie 
hotel,Néméa (Hôtel),43.9586261,4.9426514,84119,0.07471084190695988,Néméa 
hotel,Le Riccoty (Hôtel),45.8397338,5.247429,01047,0.074680041719031,Le Riccoty 
hotel,Résidence Pierre et Vacances La Pinède (Hôtel),43.039343,6.149648,83069,0.07460697974494336,Résidence Pierre et Vacances La Pinède 
hotel,ClubMed (Hôtel),45.4556711,6.4453357,73024,0.07459707123330014,ClubMed 
hotel,Village vacances Kerbeuz (Hôtel),48.240214,-4.2266041,29289,0.07459491653132956,Village vacances Kerbeuz 
hotel,Pavillonaire (Hôtel),42.4470274,9.5382222,2B207,0.07457130863477407,Pavillonaire 
hotel,Hôtel Restaurant Château de Massillan,44.233074,4.7928422,84135,0.07456992002041775,Hôtel Restaurant Château de Massillan
hotel,Thermes de Préchacq-les-Bains (Hôtel),43.7656755,-0.9330632,40237,0.07439784871564235,Thermes de Préchacq-les-Bains 
hotel,Le Camp du drap d'Or (Hôtel),46.8859588,-0.9212456,85082,0.07435888410807058,Le Camp du drap d'Or 
hotel,Belambra Club (Hôtel),43.4958284,-1.5446251,64024,0.07435444137402221,Belambra Club 
hotel,Résidence Les Grands Rochers (Hôtel),46.5519599,-1.8084895,85194,0.07428458173234248,Résidence Les Grands Rochers 
hotel,Novotel Fontainebleau Ury (Hôtel),48.3497382,2.6059593,77477,0.07425166316546068,Novotel Fontainebleau Ury 
hotel,Disneyland Hotel,48.8701871,2.779688,77111,0.07424571372197591,Disneyland Hotel
hotel,Hôtel Le Mas des Herbes Blanches,43.9345711,5.2435506,84057,0.07421975251421423,Hôtel Le Mas des Herbes Blanches
hotel,Le Pal - Savana Réserve (Hôtel),46.5022856,3.629945,03253,0.07414851482560456,Le Pal - Savana Réserve 
hotel,domaine de La Tortinière (Hôtel),47.3008845,0.7098035,37266,0.07410999300027815,domaine de La Tortinière 
hotel,Hôtel Les lavandins,44.013785,5.5198766,84107,0.07405329181446275,Hôtel Les lavandins
hotel,Village Vacances (Hôtel),49.6106648,1.5330238,76276,0.07393803890816887,Village Vacances 
hotel,Village Vacances de Lamoura (Hôtel),46.4119528,5.9911174,39275,0.07391744809320629,Village Vacances de Lamoura 
hotel,Les Hauts De Beauval (Hôtel),47.2600843,1.3557663,41198,0.07391706970612974,Les Hauts De Beauval 
hotel,Bastide de la Félicité (Hôtel),43.5061303,5.4312984,13001,0.07389222932393189,Bastide de la Félicité 
hotel,Disney's Newport Bay Club (Hôtel),48.8661458,2.7894092,77132,0.07379796778444948,Disney's Newport Bay Club 
hotel,Les Îles de Clovis (Hôtel),46.8891031,-0.9225176,85082,0.07377112002720704,Les Îles de Clovis 
hotel,Westotel Nantes (Hôtel),47.2814795,-1.5507467,44035,0.07370177082646348,Westotel Nantes 
hotel,Appart'City Bordeaux Aéroport Saint Jean d'Illac (Hôtel),44.807949,-0.7675137,33422,0.07352853388610542,Appart'City Bordeaux Aéroport Saint Jean d'Illac 
hotel,Hôtel Domaine de Beaupré,47.9031586,7.2207339,68112,0.07351436120931983,Hôtel Domaine de Beaupré
hotel,Le Domaine du Mas de Pierre - Hôtel Resort & Spa - Relais & Châteaux,43.6828237,7.1229147,06128,0.07333774873011388,Le Domaine du Mas de Pierre - Hôtel Resort & Spa - Relais & Châteaux
hotel,"Club Belambra ""Les Chênes Verts"" (Hôtel)",43.4177076,6.8204199,83118,0.07330023872136354,"Club Belambra ""Les Chênes Verts"" "
